Timestamp ID,Pattern ID
TS109,PLT2AG
TS76,MOR2AG
TS87,BUK2AG
TS35,TWG2VSL
TS190,MOR2CA
TS195,AG2MOR
TS200,PLT2VSL
TS10,AG2TR
TS12,CA2TR
TS108,CA2PLT
TS194,MOR2CA
TS106,VSL2PLT
TS2,TR2AG
TS100,ATH2AG
TS53,PLT2CA
TS27,CA2TWG
TS116,TWG2AG
TS70,MOR2AG
TS196,ATH2AG
TS146,AG2PLT
TS62,AG2MOR
TS213,ATH2CA
TS37,TWG2VSL
TS54,PLT2AG
TS233,AG2ATH
TS27,AG2TWG
TS200,CA2PLT
TS205,TWG2AG
TS177,TWG2CA
TS230,AG2SVP
TS49,PLT2AG
TS185,MOR2VSL
TS92,BUK2AG
TS147,VSL2PLT
TS233,CA2ATH
TS145,VSL2PLT
TS8,VSL2TR
TS21,TR2CA
TS119,MOR2CA
TS196,AG2ATH
TS65,VSL2MOR
TS94,BUK2AG
TS90,BUK2AG
TS29,CA2TWG
TS162,VSL2TWG
TS55,PLT2CA
TS165,CA2TWG
TS140,AG2ATH
TS209,VSL2TWG
TS149,PLT2VSL
TS68,MOR2AG
TS85,BUK2VSL
TS197,VSL2ATH
TS33,TWG2CA
TS203,PLT2CA
TS29,AG2TWG
TS141,VSL2ATH
TS155,PLT2VSL
TS106,PLT2VSL
TS165,AG2TWG
TS175,TWG2AG
TS188,MOR2VSL
TS174,TWG2VSL
TS182,CA2MOR
TS77,MOR2AG
TS19,TR2AG
TS187,MOR2CA
TS221,CA2SVP
TS87,BUK2VSL
TS89,BUK2CA
TS219,AG2ATH
TS177,TWG2VSL
TS56,PLT2AG
TS213,ATH2AG
TS106,CA2PLT
TS192,VSL2TR
TS203,AG2PLT
TS14,TR2VSL
TS169,TWG2AG
TS219,CA2ATH
TS172,TWG2CA
TS123,CA2MOR
TS207,TWG2AG
TS64,CA2MOR
TS109,VSL2PLT
TS95,BUK2CA
TS170,TWG2CA
TS197,ATH2VSL
TS20,TR2CA
TS125,AG2ATH
TS27,VSL2TWG
TS133,CA2TR
TS220,AG2ATH
TS125,CA2ATH
TS156,PLT2VSL
TS116,TWG2VSL
TS145,CA2PLT
TS45,VSL2PLT
TS59,PLT2AG
TS116,AG2TWG
TS146,CA2PLT
TS229,AG2SVP
TS227,CA2SVP
TS93,BUK2CA
TS152,PLT2AG
TS220,CA2ATH
TS101,VSL2ATH
TS138,AG2ATH
TS117,TWG2CA
TS90,BUK2VSL
TS42,TWG2CA
TS103,CA2ATH
TS129,TR2CA
TS138,CA2ATH
TS118,VSL2MOR
TS67,MOR2AG
TS6,AG2TR
TS29,VSL2TWG
TS165,VSL2TWG
TS120,MOR2VSL
TS230,CA2SVP
TS198,VSL2PLT
TS100,ATH2VSL
TS52,PLT2AG
TS12,VSL2TR
TS193,MOR2AG
TS170,TWG2VSL
TS109,PLT2VSL
TS204,TWG2AG
TS179,TR2AG
TS55,PLT2VSL
TS186,MOR2VSL
TS65,CA2MOR
TS216,CA2ATH
TS120,MOR2AG
TS123,MOR2AG
TS25,CA2TWG
TS203,PLT2VSL
TS175,TWG2VSL
TS117,CA2TWG
TS202,PLT2AG
TS25,AG2TWG
TS109,CA2PLT
TS126,VSL2ATH
TS1,TR2AG
TS201,PLT2CA
TS117,TWG2VSL
TS62,VSL2MOR
TS117,AG2TWG
TS42,TWG2VSL
TS158,PLT2AG
TS203,CA2PLT
TS39,TWG2AG
TS134,TR2VSL
TS206,TWG2CA
TS105,VSL2ATH
TS51,PLT2AG
TS70,MOR2CA
TS131,TR2AG
TS211,ATH2CA
TS86,BUK2AG
TS17,TR2VSL
TS154,PLT2CA
TS102,VSL2ATH
TS198,PLT2VSL
TS15,TR2AG
TS201,AG2PLT
TS23,TR2VSL
TS18,TR2VSL
TS22,TR2CA
TS97,ATH2CA
TS150,PLT2AG
TS180,TR2AG
TS84,VSL2BUK
TS66,AG2MOR
TS189,MOR2CA
TS230,SVP2VSL
TS213,ATH2VSL
TS198,CA2PLT
TS4,AG2TR
TS68,MOR2CA
TS206,CA2TWG
TS107,PLT2CA
TS208,TWG2CA
TS166,TWG2CA
TS206,TWG2VSL
TS206,AG2TWG
TS137,ATH2CA
TS93,BUK2AG
TS121,MOR2VSL
TS119,AG2MOR
TS122,MOR2VSL
TS204,TWG2VSL
TS10,CA2TR
TS25,VSL2TWG
TS127,CA2ATH
TS40,TWG2VSL
TS121,AG2MOR
TS122,AG2MOR
TS16,TR2CA
TS98,ATH2CA
TS111,VSL2PLT
TS211,ATH2AG
TS232,AG2ATH
TS117,VSL2TWG
TS130,TR2AG
TS7,CA2TR
TS212,ATH2CA
TS36,TWG2AG
TS218,AG2ATH
TS30,CA2TWG
TS232,CA2ATH
TS187,MOR2VSL
TS208,CA2TWG
TS86,BUK2VSL
TS97,ATH2AG
TS217,VSL2ATH
TS48,AG2PLT
TS30,AG2TWG
TS50,PLT2AG
TS201,PLT2VSL
TS218,CA2ATH
TS149,PLT2CA
TS208,TWG2VSL
TS148,PLT2CA
TS208,AG2TWG
TS132,TR2CA
TS166,TWG2VSL
TS16,TR2VSL
TS155,PLT2CA
TS106,PLT2CA
TS225,CA2SVP
TS96,BUK2VSL
TS11,CA2TR
TS201,CA2PLT
TS229,SVP2VSL
TS3,CA2TR
TS67,MOR2CA
TS111,PLT2VSL
TS153,PLT2AG
TS118,MOR2AG
TS31,TWG2VSL
TS106,AG2PLT
