HSCode,Description
411510,"Leather; composition leather with a basis of leather or leather fibre, in slabs, sheets or strip, whether or not in rolls"
720711,"Semi-finished products of iron or non-alloy steel (Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, of square or rectangular cross-section, the width measuring < twice the thickness)"
