vessel_sharing_agreement_type_code,vessel_sharing_agreement_type_name,vessel_sharing_agreement_type_description
VSA,Vessel Sharing Agreement,An agreement between two or more carriers agreeing to share vessel capacity in specific trades using a specified number of vessels.
SCA,Slot Charter Agreement,An agreement between two carriers to sell or exchange a specific number of TEU slots in one or more trades.
