port_call_service_type_code,port_call_service_type_name,port_call_service_type_description
PILO,Pilotage,"The activity of conducting a vessel within restricted waters. Also, the fee for the services of a pilot."
MOOR,Mooring,"The activity of attaching a vessel to a berth using mooring lines. The service is usually provided by linesmen."
CRGO,Cargo operations,"The activity of discharging, shifting, loading and lashing containers (both full and empty) as well as other cargo from/to a vessel during port stay."
TOWG,Towage,"The activity of one vessel (boat/tug) assisting another vessel with manoeuvres within the port area."
BUNK,Bunkering,"The transfer of liquid or gaseous fuel from land-based or floating facilities into a ship’s permanent tanks"
LASH,Lashing,"All activities encompassing securing the containers and other arrangements onboard to prevent them from moving around on the vessel at sea"
SAFE,Safety,"A safety timestamps indicates an acknowledgement of a participant that the vessel is ready for a responsibility handover from carrier to terminal and otherwise"
FAST,Fast,"FAST is all fast (last line secured)"
GWAY,Gangway,"GWAY is gangway down and secure (authorized personnel can board the vessel)"
ANCO,Anchorage ops,""
SLUG,Sludge,""
SHPW,"Shore power",""
LCRO,"Loading cargo operations",""
DCRO,"Discharge cargo operations",""
VRDY,"Vessel ready",""
