PortCall Status Code,Name,Description
OMIT,Omit,Omit
BLNK,Blank,Blank
ADHO,Ad Hoc,Ad Hoc
PHOT,Phase Out,Phase Out
PHIN,Phase In,Phase In
SLID,Sliding,Sliding
