Code,Name,Remark
BLOC,BlockPeer Technologies,
BOLE,Bolero,
BRIT,BRITC eBL,
CARX,CargoX,
COVA,Covantis,
CRED,Credore,
EDOX,EdoxOnline,
ESSD,EssDOCS,Deprecated. Do not use. Use IDT instead.
ETEU,eTEU,
ETIT,e-title,
IDT,ICE Digital Trade,
IQAX,IQAX,
KTNE,KTNET,
SECR,Secro,
TRAC,Enigio trace:original,
TRGO,TradeGO,
WAVE,Wave,
