Path,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
"SurrenderRequestDetails / endorsementChain / actor / identifyingCodes / partyCode",partyCode,string,yes,maxLength=150,,MSK,"Code to identify the party as provided by the `codeListProvider`",
"SurrenderRequestDetails / endorsementChain / actor / partyName",partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$",Globeteam,"Name of the party.",
"SurrenderRequestDetails / endorsementChain / actor / representedParty",representedParty,RepresentedActorParty,,,,,"The party on whose behalf the action was performed.",
"SurrenderRequestDetails / endorsementChain / actor / representedParty / identifyingCodes",identifyingCodes,"IdentifyingCode list",,,,,,
"SurrenderRequestDetails / endorsementChain / actor / representedParty / identifyingCodes / codeListName",codeListName,string,,maxLength=100,,DID,"The name of the code list, code generation mechanism or code authority for the `partyCode`. Example values could be:
- `DID` (Decentralized Identifier) for `codeListProvider` `W3C`
- `LEI` (Legal Entity Identifier) for `codeListProvider` `GLEIF`
- `DUNS` (Data Universal Numbering System) for `codeListProvider` `DNB`",
"SurrenderRequestDetails / endorsementChain / actor / representedParty / identifyingCodes / codeListProvider",codeListProvider,string,yes,maxLength=100,,W3C,"A list of codes identifying a party. Possible values are:
- `WAVE` (Wave)
- `CARX` (CargoX)
- `ESSD` (EssDOCS - This value has been **deprecated**. Please use `IDT`)
- `IDT` (ICE Digital Trade)
- `BOLE` (Bolero)
- `EDOX` (EdoxOnline)
- `IQAX` (IQAX)
- `SECR` (Secro)
- `TRGO` (TradeGO)
- `ETEU` (eTEU)
- `TRAC` (Enigio trace:original)
- `BRIT` (BRITC eBL)
- `COVA` (Covantis)
- `ETIT` (e-title)
- `KTNE` (KTNET)
- `CRED` (Credore)
- `BLOC` (BlockPeer Technologies)
- `DOCU` (DocuTrade)
- `AEOT` (AEOTrade)
- `SGTD` (SGTraDex)
- `GSBN` (Global Shipping Business Network)
- `WISE` (WiseTech)
- `GLEIF` (Global Legal Entity Identifier Foundation)
- `W3C` (World Wide Web Consortium)
- `DNB` (Dun and Bradstreet)
- `FMC` (Federal Maritime Commission)
- `DCSA` (Digital Container Shipping Association)
- `ZZZ` (Mutually defined)
- `NONE` (To be used as part of the '**No Party**' object when `actionCode` is `SIGN`, `BLANK ENDORSE` or `SURRENDERED`)",
"SurrenderRequestDetails / endorsementChain / actor / representedParty / identifyingCodes / partyCode",partyCode,string,yes,maxLength=150,,MSK,"Code to identify the party as provided by the `codeListProvider`",
"SurrenderRequestDetails / endorsementChain / actor / representedParty / partyName",partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$",Globeteam,"Name of the party.",
"SurrenderRequestDetails / endorsementChain / actor / taxLegalReferences",taxLegalReferences,"TaxLegalReference list",,,,,"A list of `Tax References` for a `Party`",
"SurrenderRequestDetails / endorsementChain / actor / taxLegalReferences / countryCode",countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

**Note:** In case the `countryCode` is unknown it is possible to use the code `ZZ`.",
"SurrenderRequestDetails / endorsementChain / actor / taxLegalReferences / type",type,string,yes,maxLength=50,"^\S(?:.*\S)?$",PAN,"The reference type code as defined by the relevant tax and/or legal authority.",
"SurrenderRequestDetails / endorsementChain / actor / taxLegalReferences / value",value,string,yes,maxLength=35,"^\S(?:.*\S)?$",AAAAA0000A,"The value of the `taxLegalReference`",
"SurrenderRequestDetails / endorsementChain / auditReference",auditReference,string,,maxLength=100,,AUDIT0007,"An identifier issued by the eBL Solution Provider, used for auditing purposes to verify that the endorsement chain action has been securely recorded. The format of this identifier may vary depending on the technology employed by the eBL Solution Provider.",
"SurrenderRequestDetails / endorsementChain / recipient",recipient,RecipientParty,yes,,,,"Refers to a company or a legal entity.",
"SurrenderRequestDetails / endorsementChain / recipient / eblPlatform",eblPlatform,string,yes,maxLength=4,"^\S+$",BOLE,"The eBL platform of the `Recipient Party`. The value **MUST** be one of:
- `WAVE` (Wave)
- `CARX` (CargoX)
- `ESSD` (EssDOCS - This value has been **deprecated**. Please use `IDT`)
- `IDT` (ICE Digital Trade)
- `BOLE` (Bolero)
- `EDOX` (EdoxOnline)
- `IQAX` (IQAX)
- `SECR` (Secro)
- `TRGO` (TradeGO)
- `ETEU` (eTEU)
- `TRAC` (Enigio trace:original)
- `BRIT` (BRITC eBL)
- `COVA` (Covantis)
- `ETIT` (e-title)
- `KTNE` (KTNET)
- `CRED` (Credore)
- `BLOC` (BlockPeer Technologies)
- `DOCU` (DocuTrade)
- `AEOT` (AEOTrade)
- `SGTD` (SGTraDex)
- `NONE` (To be used as part of the '**No Party**' object when `actionCode` is `SIGN`, `BLANK ENDORSE` or `SURRENDERED`)",
"SurrenderRequestDetails / endorsementChain / recipient / identifyingCodes",identifyingCodes,"IdentifyingCode list",yes,minItems=1,,,,
"SurrenderRequestDetails / endorsementChain / recipient / identifyingCodes / codeListName",codeListName,string,,maxLength=100,,DID,"The name of the code list, code generation mechanism or code authority for the `partyCode`. Example values could be:
- `DID` (Decentralized Identifier) for `codeListProvider` `W3C`
- `LEI` (Legal Entity Identifier) for `codeListProvider` `GLEIF`
- `DUNS` (Data Universal Numbering System) for `codeListProvider` `DNB`",
"SurrenderRequestDetails / endorsementChain / recipient / identifyingCodes / codeListProvider",codeListProvider,string,yes,maxLength=100,,W3C,"A list of codes identifying a party. Possible values are:
- `WAVE` (Wave)
- `CARX` (CargoX)
- `ESSD` (EssDOCS - This value has been **deprecated**. Please use `IDT`)
- `IDT` (ICE Digital Trade)
- `BOLE` (Bolero)
- `EDOX` (EdoxOnline)
- `IQAX` (IQAX)
- `SECR` (Secro)
- `TRGO` (TradeGO)
- `ETEU` (eTEU)
- `TRAC` (Enigio trace:original)
- `BRIT` (BRITC eBL)
- `COVA` (Covantis)
- `ETIT` (e-title)
- `KTNE` (KTNET)
- `CRED` (Credore)
- `BLOC` (BlockPeer Technologies)
- `DOCU` (DocuTrade)
- `AEOT` (AEOTrade)
- `SGTD` (SGTraDex)
- `GSBN` (Global Shipping Business Network)
- `WISE` (WiseTech)
- `GLEIF` (Global Legal Entity Identifier Foundation)
- `W3C` (World Wide Web Consortium)
- `DNB` (Dun and Bradstreet)
- `FMC` (Federal Maritime Commission)
- `DCSA` (Digital Container Shipping Association)
- `ZZZ` (Mutually defined)
- `NONE` (To be used as part of the '**No Party**' object when `actionCode` is `SIGN`, `BLANK ENDORSE` or `SURRENDERED`)",
"SurrenderRequestDetails / endorsementChain / recipient / identifyingCodes / partyCode",partyCode,string,yes,maxLength=150,,MSK,"Code to identify the party as provided by the `codeListProvider`",
"SurrenderRequestDetails / endorsementChain / recipient / partyName",partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$",Globeteam,"Name of the party.",
"SurrenderRequestDetails / endorsementChain / recipient / representedParty",representedParty,"RepresentedRecipientParty",,,,,"The party on whose behalf the action was directed.",
"SurrenderRequestDetails / endorsementChain / recipient / representedParty / identifyingCodes",identifyingCodes,"IdentifyingCode list",,,,,,
"SurrenderRequestDetails / endorsementChain / recipient / representedParty / identifyingCodes / codeListName",codeListName,string,,maxLength=100,,DID,"The name of the code list, code generation mechanism or code authority for the `partyCode`. Example values could be:
- `DID` (Decentralized Identifier) for `codeListProvider` `W3C`
- `LEI` (Legal Entity Identifier) for `codeListProvider` `GLEIF`
- `DUNS` (Data Universal Numbering System) for `codeListProvider` `DNB`",
"SurrenderRequestDetails / endorsementChain / recipient / representedParty / identifyingCodes / codeListProvider",codeListProvider,string,yes,maxLength=100,,W3C,"A list of codes identifying a party. Possible values are:
- `WAVE` (Wave)
- `CARX` (CargoX)
- `ESSD` (EssDOCS - This value has been **deprecated**. Please use `IDT`)
- `IDT` (ICE Digital Trade)
- `BOLE` (Bolero)
- `EDOX` (EdoxOnline)
- `IQAX` (IQAX)
- `SECR` (Secro)
- `TRGO` (TradeGO)
- `ETEU` (eTEU)
- `TRAC` (Enigio trace:original)
- `BRIT` (BRITC eBL)
- `COVA` (Covantis)
- `ETIT` (e-title)
- `KTNE` (KTNET)
- `CRED` (Credore)
- `BLOC` (BlockPeer Technologies)
- `DOCU` (DocuTrade)
- `AEOT` (AEOTrade)
- `SGTD` (SGTraDex)
- `GSBN` (Global Shipping Business Network)
- `WISE` (WiseTech)
- `GLEIF` (Global Legal Entity Identifier Foundation)
- `W3C` (World Wide Web Consortium)
- `DNB` (Dun and Bradstreet)
- `FMC` (Federal Maritime Commission)
- `DCSA` (Digital Container Shipping Association)
- `ZZZ` (Mutually defined)
- `NONE` (To be used as part of the '**No Party**' object when `actionCode` is `SIGN`, `BLANK ENDORSE` or `SURRENDERED`)",
"SurrenderRequestDetails / endorsementChain / recipient / representedParty / identifyingCodes / partyCode",partyCode,string,yes,maxLength=150,,MSK,"Code to identify the party as provided by the `codeListProvider`",
"SurrenderRequestDetails / endorsementChain / recipient / representedParty / partyName",partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$",Globeteam,"Name of the party.",
"SurrenderRequestDetails / endorsementChain / recipient / taxLegalReferences",taxLegalReferences,"TaxLegalReference list",,,,,"A list of `Tax References` for a `Party`",
"SurrenderRequestDetails / endorsementChain / recipient / taxLegalReferences / countryCode",countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

**Note:** In case the `countryCode` is unknown it is possible to use the code `ZZ`.",
"SurrenderRequestDetails / endorsementChain / recipient / taxLegalReferences / type",type,string,yes,maxLength=50,"^\S(?:.*\S)?$",PAN,"The reference type code as defined by the relevant tax and/or legal authority.",
"SurrenderRequestDetails / endorsementChain / recipient / taxLegalReferences / value",value,string,yes,maxLength=35,"^\S(?:.*\S)?$",AAAAA0000A,"The value of the `taxLegalReference`",
"SurrenderRequestDetails / reasonCode",reasonCode,string,,maxLength=4,,SWTP,"A code defined by DCSA indicating the reason for requesting a Surrender for Amendment. Possible values are:
- `SWTP` (Switch to paper)
- `COD` (Change of destination)
- `SWI` (Switch BL)

In case no valid `reasonCode` exists for the `AREQ` (Requested to Surrender for Amendment) - it is possible to use the `comments` property below to add more information.",
"SurrenderRequestDetails / surrenderRequestCode",surrenderRequestCode,string,yes,,,SREQ,"Surrender Request codes:
- `SREQ` (Requested to Surrender for Delivery)
- `AREQ` (Requested to Surrender for Amendment)

The surrender request code determines the type of surrender request. Any parallel negotiation between the consignee and the carrier related to any of these type surrender are handled outside this API. Examples could be the shipment release related to a Surrender for Delivery or the actual contents of the amendment in a surrender related to an amendment.

Note that ""Switch to paper"" is considered an amendment in how it is modelled via the DCSA eBL data standard.",
"SurrenderRequestDetails / surrenderRequestReference","surrenderRequestReference",string,yes,maxLength=100,"^\S(?:.*\S)?$",Z12345,"A server defined reference for a concrete surrender request. Surrender request references MUST NOT be reused.",
"SurrenderRequestDetails / transportDocumentReference","transportDocumentReference",string,yes,maxLength=20,"^\S(?:.*\S)?$",HHL71800000,"A unique number allocated by the shipping line to the `Transport Document` and the main number used for the tracking of the status of the shipment.",
"SurrenderRequestDetails / transportDocumentSubReference","transportDocumentSubReference",string,,maxLength=100,"^\S(?:.*\S)?$",Version_1,"Additional reference that can be optionally used alongside the `transportDocumentReference` in order to distinguish between versions of the same `Transport Document`.",
